Date,Open,High,Low,Close,Volume,Adj Close
1980-01-02,7.38,7.38,7.38,7.38,000,0.61
1980-01-03,7.35,7.35,7.35,7.35,000,0.61
1980-01-04,7.35,7.35,7.35,7.35,000,0.61
1980-01-07,7.35,7.35,7.35,7.35,000,0.61
1980-01-08,7.36,7.36,7.36,7.36,000,0.61
1980-01-09,7.36,7.36,7.36,7.36,000,0.61
1980-01-10,7.38,7.38,7.38,7.38,000,0.61
1980-01-11,7.36,7.36,7.36,7.36,000,0.61
1980-01-14,7.36,7.36,7.36,7.36,000,0.61
1980-01-15,7.36,7.36,7.36,7.36,000,0.61
1980-01-16,7.36,7.36,7.36,7.36,000,0.61
1980-01-17,7.35,7.35,7.35,7.35,000,0.61
1980-01-18,7.30,7.30,7.30,7.30,000,0.61
1980-01-21,7.26,7.26,7.26,7.26,000,0.60
1980-01-22,7.27,7.27,7.27,7.27,000,0.61
1980-01-23,7.28,7.28,7.28,7.28,000,0.61
1980-01-24,7.24,7.24,7.24,7.24,000,0.60
1980-01-25,7.20,7.20,7.20,7.20,000,0.60
1980-01-28,7.19,7.19,7.19,7.19,000,0.60
1980-01-29,7.16,7.16,7.16,7.16,000,0.60
1980-01-30,7.15,7.15,7.15,7.15,000,0.60
1980-01-31,7.17,7.17,7.17,7.17,000,0.60
1980-02-01,7.14,7.14,7.14,7.14,000,0.60
1980-02-04,7.11,7.11,7.11,7.11,000,0.60
1980-02-05,7.07,7.07,7.07,7.07,000,0.59
1980-02-06,6.95,6.95,6.95,6.95,000,0.58
1980-02-07,6.98,6.98,6.98,6.98,000,0.59
1980-02-08,6.98,6.98,6.98,6.98,000,0.59
1980-02-11,6.94,6.94,6.94,6.94,000,0.58
1980-02-12,6.93,6.93,6.93,6.93,000,0.58
1980-02-13,6.95,6.95,6.95,6.95,000,0.58
1980-02-14,6.93,6.93,6.93,6.93,000,0.58
1980-02-15,6.89,6.89,6.89,6.89,000,0.58
1980-02-19,6.78,6.78,6.78,6.78,000,0.57
1980-02-20,6.78,6.78,6.78,6.78,000,0.57
1980-02-21,6.70,6.70,6.70,6.70,000,0.56
1980-02-22,6.66,6.66,6.66,6.66,000,0.56
1980-02-25,6.65,6.65,6.65,6.65,000,0.56
1980-02-26,6.63,6.63,6.63,6.63,000,0.56
1980-02-27,6.61,6.61,6.61,6.61,000,0.56
1980-02-28,6.68,6.68,6.68,6.68,000,0.56
1980-02-29,6.68,6.68,6.68,6.68,000,0.57
1980-03-03,6.66,6.66,6.66,6.66,000,0.57
1980-03-04,6.66,6.66,6.66,6.66,000,0.57
1980-03-05,6.65,6.65,6.65,6.65,000,0.56
1980-03-06,6.60,6.60,6.60,6.60,000,0.56
1980-03-07,6.60,6.60,6.60,6.60,000,0.56
1980-03-10,6.65,6.65,6.65,6.65,000,0.56
1980-03-11,6.70,6.70,6.70,6.70,000,0.57
1980-03-12,6.64,6.64,6.64,6.64,000,0.56
1980-03-13,6.67,6.67,6.67,6.67,000,0.57
1980-03-14,6.67,6.67,6.67,6.67,000,0.57
1980-03-17,6.66,6.66,6.66,6.66,000,0.57
1980-03-18,6.69,6.69,6.69,6.69,000,0.57
1980-03-19,6.71,6.71,6.71,6.71,000,0.57
1980-03-20,6.67,6.67,6.67,6.67,000,0.57
1980-03-21,6.66,6.66,6.66,6.66,000,0.57
1980-03-24,6.58,6.58,6.58,6.58,000,0.56
1980-03-25,6.58,6.58,6.58,6.58,000,0.56
1980-03-26,6.59,6.59,6.59,6.59,000,0.56
1980-03-27,6.60,6.60,6.60,6.60,000,0.56
1980-03-28,6.62,6.62,6.62,6.62,000,0.56
1980-03-31,6.62,6.62,6.62,6.62,000,0.57
1980-04-01,6.63,6.63,6.63,6.63,000,0.57
1980-04-02,6.62,6.62,6.62,6.62,000,0.57
1980-04-03,6.65,6.65,6.65,6.65,000,0.57
1980-04-07,6.71,6.71,6.71,6.71,000,0.58
1980-04-08,6.71,6.71,6.71,6.71,000,0.58
1980-04-09,6.71,6.71,6.71,6.71,000,0.58
1980-04-10,6.77,6.77,6.77,6.77,000,0.58
1980-04-11,6.83,6.83,6.83,6.83,000,0.59
1980-04-14,6.87,6.87,6.87,6.87,000,0.59
1980-04-15,6.89,6.89,6.89,6.89,000,0.59
1980-04-16,7.09,7.09,7.09,7.09,000,0.61
1980-04-17,7.11,7.11,7.11,7.11,000,0.61
1980-04-18,7.11,7.11,7.11,7.11,000,0.61
1980-04-21,7.15,7.15,7.15,7.15,000,0.61
1980-04-22,7.18,7.18,7.18,7.18,000,0.62
1980-04-23,7.18,7.18,7.18,7.18,000,0.62
1980-04-24,7.16,7.16,7.16,7.16,000,0.61
1980-04-25,7.16,7.16,7.16,7.16,000,0.61
1980-04-28,7.24,7.24,7.24,7.24,000,0.62
1980-04-29,7.25,7.25,7.25,7.25,000,0.62
1980-04-30,7.25,7.25,7.25,7.25,000,0.63
1980-05-01,7.35,7.35,7.35,7.35,000,0.64
1980-05-02,7.44,7.44,7.44,7.44,000,0.64
1980-05-05,7.47,7.47,7.47,7.47,000,0.65
1980-05-06,7.53,7.53,7.53,7.53,000,0.65
1980-05-07,7.55,7.55,7.55,7.55,000,0.65
1980-05-08,7.51,7.51,7.51,7.51,000,0.65
1980-05-09,7.48,7.48,7.48,7.48,000,0.65
1980-05-12,7.46,7.46,7.46,7.46,000,0.65
1980-05-13,7.47,7.47,7.47,7.47,000,0.65
1980-05-14,7.49,7.49,7.49,7.49,000,0.65
1980-05-15,7.45,7.45,7.45,7.45,000,0.65
1980-05-16,7.42,7.42,7.42,7.42,000,0.64
1980-05-19,7.38,7.38,7.38,7.38,000,0.64
1980-05-20,7.44,7.44,7.44,7.44,000,0.64
1980-05-21,7.48,7.48,7.48,7.48,000,0.65
1980-05-22,7.49,7.49,7.49,7.49,000,0.65
1980-05-23,7.57,7.57,7.57,7.57,000,0.66
1980-05-27,7.56,7.56,7.56,7.56,000,0.65
1980-05-28,7.55,7.55,7.55,7.55,000,0.65
1980-05-29,7.53,7.53,7.53,7.53,000,0.65
1980-05-30,7.51,7.51,7.51,7.51,000,0.66
1980-06-02,7.47,7.47,7.47,7.47,000,0.65
1980-06-03,7.53,7.53,7.53,7.53,000,0.66
1980-06-04,7.56,7.56,7.56,7.56,000,0.66
1980-06-05,7.59,7.59,7.59,7.59,000,0.66
1980-06-06,7.67,7.67,7.67,7.67,000,0.67
1980-06-09,7.75,7.75,7.75,7.75,000,0.68
1980-06-10,7.68,7.68,7.68,7.68,000,0.67
1980-06-11,7.71,7.71,7.71,7.71,000,0.67
1980-06-12,7.79,7.79,7.79,7.79,000,0.68
1980-06-13,7.81,7.81,7.81,7.81,000,0.68
1980-06-16,7.84,7.84,7.84,7.84,000,0.69
1980-06-17,7.83,7.83,7.83,7.83,000,0.68
1980-06-18,7.80,7.80,7.80,7.80,000,0.68
1980-06-19,7.79,7.79,7.79,7.79,000,0.68
1980-06-20,7.80,7.80,7.80,7.80,000,0.68
1980-06-23,7.75,7.75,7.75,7.75,000,0.68
1980-06-24,7.73,7.73,7.73,7.73,000,0.68
1980-06-25,7.67,7.67,7.67,7.67,000,0.67
1980-06-26,7.63,7.63,7.63,7.63,000,0.67
1980-06-27,7.57,7.57,7.57,7.57,000,0.66
1980-06-30,7.56,7.56,7.56,7.56,000,0.67
1980-07-01,7.52,7.52,7.52,7.52,000,0.66
1980-07-02,7.51,7.51,7.51,7.51,000,0.66
1980-07-03,7.54,7.54,7.54,7.54,000,0.66
1980-07-07,7.51,7.51,7.51,7.51,000,0.66
1980-07-08,7.54,7.54,7.54,7.54,000,0.66
1980-07-09,7.53,7.53,7.53,7.53,000,0.66
1980-07-10,7.51,7.51,7.51,7.51,000,0.66
1980-07-11,7.47,7.47,7.47,7.47,000,0.66
1980-07-14,7.45,7.45,7.45,7.45,000,0.66
1980-07-15,7.49,7.49,7.49,7.49,000,0.66
1980-07-16,7.53,7.53,7.53,7.53,000,0.66
1980-07-17,7.51,7.51,7.51,7.51,000,0.66
1980-07-18,7.50,7.50,7.50,7.50,000,0.66
1980-07-21,7.51,7.51,7.51,7.51,000,0.66
1980-07-22,7.50,7.50,7.50,7.50,000,0.66
1980-07-23,7.51,7.51,7.51,7.51,000,0.66
1980-07-24,7.49,7.49,7.49,7.49,000,0.66
1980-07-25,7.46,7.46,7.46,7.46,000,0.66
1980-07-28,7.41,7.41,7.41,7.41,000,0.65
1980-07-29,7.40,7.40,7.40,7.40,000,0.65
1980-07-30,7.36,7.36,7.36,7.36,000,0.65
1980-07-31,7.30,7.30,7.30,7.30,000,0.65
