Date,Open,High,Low,Close,Volume,Adj Close
2015-05-26,213.84,213.94,211.63,212.13,3069800,212.13
2015-05-22,214.47,214.98,214.35001,214.46001,1840900,214.46001
2015-05-21,214.17,215.17999,213.95,214.91,1341000,214.91
2015-05-20,214.59,215.23,213.95,214.28999,1734700,214.28999
2015-05-19,214.70,215.00,214.12,214.50,1715500,214.50
2015-05-18,213.70,214.86,213.62,214.53999,3439400,214.53999
2015-05-15,213.89,214.03,213.30,213.91,2994400,213.91
2015-05-14,212.70,213.75,212.34,213.69,2629800,213.69
2015-05-13,211.92,212.64,211.14,211.42999,2720800,211.42999
2015-05-12,211.00,212.03999,210.02,211.35001,3802700,211.35001
2015-05-11,213.00,213.30,211.94,212.00,4542300,212.00
2015-05-08,212.28,213.28,212.22,213.03,5096500,213.03
2015-05-07,209.31,210.75999,208.92,210.28999,5453200,210.28999
2015-05-06,210.94,211.33,208.14999,209.47,3332000,209.47
2015-05-05,212.42999,212.85001,210.13,210.34,2541700,210.34
2015-05-04,212.64999,213.42,212.53,212.80,1834400,212.80
2015-05-01,210.81,212.19,210.70,212.12,2683900,212.12
2015-04-30,211.30,211.75999,209.02,209.85001,3738000,209.85001
2015-04-29,211.75,212.71001,211.03,211.99001,3652600,211.99001
2015-04-28,212.16,212.92,210.75,212.82001,4874300,212.82001
2015-04-27,213.77,213.88,211.95,212.24001,2234700,212.24001
2015-04-24,213.07001,213.39,212.52,213.08,1837600,213.08
2015-04-23,211.58,213.37,211.45,212.61,3736600,212.61
2015-04-22,211.44,212.25999,210.32001,212.08,2709300,212.08
2015-04-21,211.28,212.25999,210.66,211.06,2663700,211.06
2015-04-20,210.48,211.64999,210.38,211.28,2644900,211.28
2015-04-17,210.37,210.62,208.39999,209.36,4583700,209.36
2015-04-16,211.46001,212.38,211.21001,211.81,3055800,211.81
2015-04-15,211.48,212.45,211.35001,211.91,2765900,211.91
2015-04-14,210.27,211.11,209.49001,210.83,2815800,210.83
2015-04-13,211.31,212.03,210.46001,210.46001,1427900,210.46001
2015-04-10,210.59,211.49001,210.37,211.42999,1737500,211.42999
2015-04-09,209.20,210.57001,208.60001,210.33,2189700,210.33
2015-04-08,208.97,209.89,208.46001,209.41,2862500,209.41
2015-04-07,209.23,210.14999,208.64999,208.66,2246700,208.66
2015-04-06,206.75999,209.85001,206.59,209.28,2648200,209.28
2015-04-02,207.00,208.35001,206.75999,207.75999,2798100,207.75999
2015-04-01,207.77,207.78,205.88,207.17999,6567500,207.17999
2015-03-31,208.64,209.49001,207.75999,207.83,3409700,207.83
2015-03-30,208.35001,209.99001,208.35001,209.62,3308800,209.62
2015-03-27,206.53,207.33,206.28999,207.10001,2208600,207.10001
2015-03-26,206.35001,207.74001,205.50,206.67999,4182600,206.67999
2015-03-25,210.47,210.77,207.11,207.19,4066100,207.19
2015-03-24,212.22,212.82001,211.14999,211.17,4223600,210.168
2015-03-23,212.86,213.53,212.44,212.50,2388300,211.49168
2015-03-20,212.12,213.45,212.03999,212.85001,3179400,211.84003
2015-03-19,211.45,211.78,210.52,210.99001,3664700,209.98886
2015-03-18,208.87,212.75999,208.08,211.89999,5602300,210.89453
2015-03-17,209.21001,209.89,208.45,209.42999,3231900,208.43625
2015-03-16,208.17,210.14999,208.14,210.14,3195600,209.14288
2015-03-13,208.20,208.39,206.00999,207.27,4123200,206.28651
2015-03-12,206.70,208.63,206.63,208.55,4477200,207.56042
2015-03-11,206.74001,206.94,205.83,205.98,2934100,205.00262
2015-03-10,208.17,208.23,206.39999,206.42,4051100,205.44054
2015-03-09,209.17999,210.24001,209.10001,209.85001,2579300,208.85426
2015-03-06,210.89999,211.42,208.56,208.98,6450200,207.98839
2015-03-05,212.11,212.28,211.35001,211.92999,2937100,210.92438
2015-03-04,211.91,211.97,210.55,211.71001,4795800,210.70544
2015-03-03,212.97,213.07001,211.57001,212.60001,3137300,211.59122
2015-03-02,212.27,213.56,212.25,213.56,8313900,212.54666
2015-02-27,212.77,213.09,212.14999,212.21001,3932500,211.20306
2015-02-26,213.06,213.19,212.16,212.91,4450300,211.89975
2015-02-25,213.16,213.74001,212.73,213.14999,2065500,212.1386
2015-02-24,212.62,213.55,212.27,213.31,2244700,212.29784
2015-02-23,212.44,212.71001,211.97,212.67,2630500,211.66087
2015-02-20,210.94,212.80,210.23,212.74001,4613500,211.73056
2015-02-19,210.92,211.89999,210.72,211.45,2184900,210.44667
2015-02-18,211.13,211.70,210.82001,211.62,2141000,210.61586
2015-02-17,210.89,211.80,210.59,211.66,2255700,210.65567
2015-02-13,210.50999,211.31,210.24001,211.28,3099400,210.27748
2015-02-12,209.38,210.45,209.14999,210.33,4695500,209.33199
2015-02-11,208.07001,208.89,207.27,208.39,7154900,207.40118
2015-02-10,207.33,208.57001,206.25999,208.28999,2888300,207.30165
2015-02-09,206.21001,207.09,205.58,206.06,6165600,205.08224
2015-02-06,208.02,208.72,206.39999,206.95,3844700,205.96802
2015-02-05,206.32001,207.74001,206.23,207.62,7029300,206.63484
2015-02-04,205.39,206.82001,204.96001,205.47,6147000,204.49504
2015-02-03,204.42,206.28999,204.00,206.20,3616700,205.22157
2015-02-02,201.48,203.42999,199.27,203.31,4534100,202.34529
2015-01-30,201.99001,203.58,200.53999,200.87,9675500,199.91687
2015-01-29,201.73,203.72,200.08,203.45,7315500,202.48462
2015-01-28,205.63,205.72,201.33,201.52,6542800,200.5638
2015-01-27,204.44,205.55,203.14999,204.16,5848900,203.19127
2015-01-26,206.17999,207.00999,205.28999,206.94,3336100,205.95807
2015-01-23,207.20,207.53999,206.24001,206.39,4818800,205.41068
2015-01-22,205.44,207.71001,203.75999,207.50,4844500,206.51541
2015-01-21,202.92,205.07001,202.37,204.50,5354100,203.52965
2015-01-20,203.78999,204.12,201.59,203.50,3629000,202.53439
2015-01-16,200.17999,203.23,199.95,203.00,4981700,202.03676
2015-01-15,203.03,203.42,200.28,200.42999,8724700,199.47896
2015-01-14,201.05,202.49001,199.97,202.33,8016900,201.36995
2015-01-13,205.56,206.91,201.95,203.56,8469300,202.5941
2015-01-12,205.85001,206.03,203.35001,204.09,3501600,203.12158
2015-01-09,207.84,207.85001,204.95,205.64999,4394600,204.67418
2015-01-08,205.45,207.59,205.42999,207.39999,4682900,206.41588
2015-01-07,202.84,204.14,202.30,203.75999,3563000,202.79315
2015-01-06,203.50999,204.12,200.25,201.27,8019800,200.31497
