Date,Stock Close,Bond Close,Stock Normalized,Bond Normalized,Stock %,Bond %,Lifecycle
1/2/1980,114.16,0.58602,100,100,0.9,0.1,100
2/1/1980,113.66,0.55133,99.56201822,94.08040681,0.9,0.1,99.01385708
3/3/1980,102.09,0.55197,89.42711983,94.1896181,0.9,0.1,89.90336966
4/1/1980,106.29,0.61056,93.10616678,104.1875704,0.9,0.1,94.21430714
5/1/1980,111.24,0.63822,97.44218641,108.9075458,0.9,0.1,98.58872235
6/2/1980,114.24,0.64795,100.0700771,110.5678987,0.9,0.1,101.1198592
7/1/1980,121.67,0.63133,106.5784863,107.731818,0.9,0.1,106.6938195
8/1/1980,122.38,0.61463,107.2004205,104.8820859,0.9,0.1,106.968587
9/2/1980,125.46,0.60904,109.8983882,103.9281936,0.9,0.1,109.3013688
10/1/1980,127.47,0.59953,111.659075,102.3053821,0.9,0.1,110.7237057
11/3/1980,140.52,0.59788,123.0903994,102.0238217,0.9,0.1,120.9837417
12/1/1980,135.75999,0.61352,118.9208041,104.6926726,0.9,0.1,117.497991
1/2/1981,129.55,0.60952,113.4810792,104.010102,0.9,0.1,112.5339815
2/2/1981,131.27,0.59669,114.9877365,101.820757,0.9,0.1,113.6710386
3/2/1981,136,0.61272,119.1310441,104.5561585,0.9,0.1,117.6735556
4/1/1981,132.81,0.58742,116.3367204,100.2388997,0.9,0.1,114.7269383
5/1/1981,132.59,0.61449,116.1440084,104.858196,0.9,0.1,115.0154272
6/1/1981,131.21001,0.60989,114.9351875,104.0732398,0.9,0.1,113.8489927
7/1/1981,130.92,0.59555,114.6811493,101.6262244,0.9,0.1,113.3756568
8/3/1981,122.79,0.58,107.5595655,98.97273131,0.9,0.1,106.7008821
9/1/1981,116.18,0.5753,101.7694464,98.1707109,0.9,0.1,101.4095728
10/1/1981,121.89,0.60489,106.7711983,103.2200266,0.9,0.1,106.4160811
11/2/1981,126.35,0.66666,110.6779958,113.7606225,0.9,0.1,110.9862585
12/1/1981,122.55,0.63856,107.3493343,108.9655643,0.9,0.1,107.5109573
1/4/1982,120.4,0.63899,105.4660126,109.0389407,0.9,0.1,105.8233054
2/1/1982,113.11,0.65284,99.08023826,111.4023412,0.9,0.1,100.3124486
3/1/1982,111.96,0.66154,98.07288017,112.8869322,0.9,0.1,99.55428537
4/1/1982,116.44,0.68324,101.9971969,116.5898775,0.9,0.1,103.456465
5/3/1982,111.88,0.69223,98.00280308,118.1239548,0.9,0.1,100.0149183
6/1/1982,109.61,0.68116,96.0143658,116.2349408,0.9,0.1,98.0364233
7/1/1982,107.09,0.71164,93.80693763,121.4361285,0.9,0.1,96.56985671
8/2/1982,119.51,0.74332,104.686405,126.8420873,0.9,0.1,106.9019733
9/1/1982,120.42,0.76985,105.4835319,131.3692365,0.9,0.1,108.0721024
10/1/1982,133.72,0.80597,117.1338472,137.5328487,0.9,0.1,119.1737474
11/1/1982,138.53,0.81379,121.347232,138.8672742,0.9,0.1,123.0992362
12/1/1982,140.64,0.83236,123.1955151,142.036108,0.9,0.1,125.0795744
1/3/1983,145.3,0.8306,127.2775053,141.7357769,0.9,0.1,128.7233324
2/1/1983,148.06,0.85721,129.6951647,146.2765776,0.9,0.1,131.353306
3/1/1983,152.96001,0.86495,133.9873949,147.5973516,0.9,0.1,135.3483906
4/4/1983,164.42999,0.90314,144.0346794,154.1141941,0.9,0.1,145.0426309
5/2/1983,162.39,0.88023,142.2477225,150.2047712,0.9,0.1,143.0434274
6/1/1983,167.64,0.87069,146.8465312,148.5768404,0.9,0.1,147.0195621
7/1/1983,162.56,0.8408,142.3966363,143.4763319,0.9,0.1,142.5046059
8/1/1983,164.39999,0.8489,144.0084005,144.8585373,0.9,0.1,144.0934142
9/1/1983,166.07001,0.87897,145.4712772,149.9897614,0.9,0.1,145.9231256
10/3/1983,163.55,0.87813,143.2638402,149.8464216,0.9,0.1,143.9220984
11/1/1983,166.39999,0.88907,145.7603276,151.7132521,0.9,0.1,146.3556201
12/1/1983,164.92999,0.88822,144.4726612,151.5682059,0.9,0.1,145.1822156
1/3/1984,163.41,0.91007,143.1412053,155.2967476,0.9,0.1,144.3567595
2/1/1984,157.06,0.90115,137.5788367,153.7746152,0.9,0.1,139.1984146
3/1/1984,159.17999,0.88542,139.4358707,151.0904065,0.9,0.1,140.6013243
4/2/1984,160.05,0.88067,140.1979678,150.2798539,0.9,0.1,141.2061564
5/1/1984,150.55,0.84967,131.8763139,144.9899321,0.9,0.1,133.1876758
6/1/1984,153.17999,0.86295,134.1800893,147.2560663,0.9,0.1,135.487687
7/2/1984,150.66,0.89515,131.9726699,152.7507594,0.9,0.1,134.0504789
8/1/1984,166.67999,0.90917,146.0055974,155.1431692,0.9,0.1,146.9193546
9/4/1984,166.10001,0.93635,145.4975561,159.7812361,0.9,0.1,146.9259241
10/1/1984,166.09,0.96679,145.4887877,164.9755981,0.9,0.1,147.4374687
11/1/1984,163.58,0.98533,143.2901191,168.1393127,0.9,0.1,145.7750385
12/3/1984,167.24001,0.9938,146.4961545,169.5846558,0.9,0.1,148.8050046
1/2/1985,179.63,1.01592,157.3493343,173.359271,0.9,0.1,158.9503279
2/1/1985,181.17999,0.99998,158.707069,170.6392273,0.9,0.1,159.9002849
3/1/1985,180.66,1.0163,158.2515767,173.4241152,0.9,0.1,159.7688306
4/1/1985,179.83,1.03744,131.2600049,177.0315006,0.9,0.1,135.8371545
5/1/1985,189.55,1.08237,166.0388928,184.6984745,0.9,0.1,167.9048509
6/3/1985,191.85001,1.09427,168.0536177,186.7291219,0.9,0.1,169.9211681
7/1/1985,190.92,1.08864,167.2389629,185.7684038,0.9,0.1,169.091907
8/1/1985,188.63,1.1102,165.2330063,189.4474591,0.9,0.1,167.6544516
9/3/1985,182.08,1.11875,159.495445,190.9064537,0.9,0.1,162.6365459
10/1/1985,189.82001,1.14095,166.2754117,194.6947203,0.9,0.1,169.1173426
11/1/1985,202.17,1.173,177.0935529,200.1638169,0.9,0.1,179.4005793
12/2/1985,211.28,1.20531,185.0735809,205.6772806,0.9,0.1,187.1339509
1/2/1986,211.78,1.21081,185.5115627,206.6158152,0.9,0.1,187.621988
2/3/1986,226.92,1.26403,198.773651,215.6974165,0.9,0.1,200.4660276
3/3/1986,238.89999,1.29462,209.2676857,220.9173748,0.9,0.1,210.4326546
4/1/1986,235.52,1.30478,206.3069376,222.6511041,0.9,0.1,207.9413543
5/1/1986,247.35001,1.27492,216.6695953,217.5557148,0.9,0.1,216.7582073
6/2/1986,250.84,1.3117,219.7266994,223.8319511,0.9,0.1,220.1372245
7/1/1986,236.12,1.31856,206.8325158,225.0025596,0.9,0.1,208.6495202
8/1/1986,252.92999,1.3434,221.5574544,229.2413228,0.9,0.1,222.3258413
9/2/1986,231.32001,1.32145,202.6278994,225.4957169,0.9,0.1,204.9146812
10/1/1986,243.98,1.34119,213.7175893,228.8642026,0.9,0.1,215.2322507
11/3/1986,249.22,1.36053,218.3076384,232.1644312,0.9,0.1,219.6933177
12/1/1986,242.17,1.37078,212.1320953,233.9135183,0.9,0.1,214.3102376
1/2/1987,274.07999,1.39022,240.0840837,237.2308112,0.9,0.1,239.7987565
2/2/1987,284.20001,1.40025,248.9488525,238.9423569,0.9,0.1,247.9482029
3/2/1987,291.70001,1.38972,255.5185792,237.1454899,0.9,0.1,253.6812703
4/1/1987,288.35999,1.34317,252.5928434,229.202075,0.9,0.1,250.2537665
5/1/1987,290.10001,1.33275,254.1170375,227.4239787,0.9,0.1,251.4477316
6/1/1987,304,1.34499,266.2929222,229.5126446,0.9,0.1,262.6148945
7/1/1987,318.66,1.34526,279.134548,229.5587181,0.9,0.1,274.176965
8/3/1987,329.79999,1.33766,288.8927733,228.2618341,0.9,0.1,282.8296794
9/1/1987,321.82999,1.30425,281.9113437,222.5606635,0.9,0.1,275.9762757
10/1/1987,251.78999,1.34042,220.558856,228.7328078,0.9,0.1,221.3762512
11/2/1987,230.3,1.35661,201.7344078,231.4955121,0.9,0.1,204.7105183
12/1/1987,247.08,1.37328,216.4330764,234.3401249,0.9,0.1,218.2237812
1/4/1988,257.07001,1.42645,225.1839611,243.4131941,0.9,0.1,227.0068844
2/1/1988,267.82001,1.44874,234.6005694,247.2168185,0.9,0.1,235.8621943
