Date,Open,High,Low,Close,Volume,Adj Close
2015-05-26,38.24,38.24,38.24,38.24,000,38.24
2015-05-22,38.63,38.63,38.63,38.63,000,38.63
2015-05-21,38.71,38.71,38.71,38.71,000,38.71
2015-05-20,38.63,38.63,38.63,38.63,000,38.63
2015-05-19,38.65,38.65,38.65,38.65,000,38.65
2015-05-18,38.68,38.68,38.68,38.68,000,38.68
2015-05-15,38.52,38.52,38.52,38.52,000,38.52
2015-05-14,38.48,38.48,38.48,38.48,000,38.48
2015-05-13,38.08,38.08,38.08,38.08,000,38.08
2015-05-12,38.09,38.09,38.09,38.09,000,38.09
2015-05-11,38.19,38.19,38.19,38.19,000,38.19
2015-05-08,38.35,38.35,38.35,38.35,000,38.35
2015-05-07,37.88,37.88,37.88,37.88,000,37.88
2015-05-06,37.72,37.72,37.72,37.72,000,37.72
2015-05-05,37.83,37.83,37.83,37.83,000,37.83
2015-05-04,38.30,38.30,38.30,38.30,000,38.30
2015-05-01,38.19,38.19,38.19,38.19,000,38.19
2015-04-30,37.80,37.80,37.80,37.80,000,37.80
2015-04-29,38.22,38.22,38.22,38.22,000,38.22
2015-04-28,38.38,38.38,38.38,38.38,000,38.38
2015-04-27,38.28,38.28,38.28,38.28,000,38.28
2015-04-24,38.48,38.48,38.48,38.48,000,38.48
2015-04-23,38.43,38.43,38.43,38.43,000,38.43
2015-04-22,38.32,38.32,38.32,38.32,000,38.32
2015-04-21,38.15,38.15,38.15,38.15,000,38.15
2015-04-20,38.19,38.19,38.19,38.19,000,38.19
2015-04-17,37.85,37.85,37.85,37.85,000,37.85
2015-04-16,38.30,38.30,38.30,38.30,000,38.30
2015-04-15,38.33,38.33,38.33,38.33,000,38.33
2015-04-14,38.12,38.12,38.12,38.12,000,38.12
2015-04-13,38.08,38.08,38.08,38.08,000,38.08
2015-04-10,38.23,38.23,38.23,38.23,000,38.23
2015-04-09,38.04,38.04,38.04,38.04,000,38.04
2015-04-08,37.91,37.91,37.91,37.91,000,37.91
2015-04-07,37.77,37.77,37.77,37.77,000,37.77
2015-04-06,37.87,37.87,37.87,37.87,000,37.87
2015-04-02,37.63,37.63,37.63,37.63,000,37.63
2015-04-01,37.49,37.49,37.49,37.49,000,37.49
2015-03-31,37.63,37.63,37.63,37.63,000,37.63
2015-03-30,37.92,37.92,37.92,37.92,000,37.92
2015-03-27,37.46,37.46,37.46,37.46,000,37.46
2015-03-26,37.33,37.33,37.33,37.33,000,37.33
2015-03-25,37.42,37.42,37.42,37.42,000,37.42
2015-03-24,38.00,38.00,38.00,38.00,000,38.00
2015-03-23,38.21,38.21,38.21,38.21,000,38.21
2015-03-20,38.29,38.29,38.29,38.29,000,38.29
2015-03-19,37.95,37.95,37.95,37.95,000,37.95
2015-03-18,38.10,38.10,38.10,38.10,000,38.10
2015-03-17,37.66,37.66,37.66,37.66,000,37.66
2015-03-16,37.74,37.74,37.74,37.74,000,37.74
2015-03-13,37.27,37.27,37.27,37.27,000,37.27
2015-03-12,37.49,37.49,37.49,37.49,000,37.49
2015-03-11,37.01,37.01,37.01,37.01,000,37.01
2015-03-10,37.02,37.02,37.02,37.02,000,37.02
2015-03-09,37.62,37.62,37.62,37.62,000,37.62
2015-03-06,37.48,37.48,37.48,37.48,000,37.48
2015-03-05,38.00,38.00,38.00,38.00,000,38.00
2015-03-04,37.94,37.94,37.94,37.94,000,37.94
2015-03-03,38.10,38.10,38.10,38.10,000,38.10
2015-03-02,38.27,38.27,38.27,38.27,000,38.27
2015-02-27,38.02,38.02,38.02,38.02,000,38.02
2015-02-26,38.15,38.15,38.15,38.15,000,38.15
2015-02-25,38.19,38.19,38.19,38.19,000,38.19
2015-02-24,38.19,38.19,38.19,38.19,000,38.19
2015-02-23,38.11,38.11,38.11,38.11,000,38.11
2015-02-20,38.12,38.12,38.12,38.12,000,38.12
2015-02-19,37.89,37.89,37.89,37.89,000,37.89
2015-02-18,37.91,37.91,37.91,37.91,000,37.91
2015-02-17,37.89,37.89,37.89,37.89,000,37.89
2015-02-13,37.83,37.83,37.83,37.83,000,37.83
2015-02-12,37.66,37.66,37.66,37.66,000,37.66
2015-02-11,37.28,37.28,37.28,37.28,000,37.28
2015-02-10,37.27,37.27,37.27,37.27,000,37.27
2015-02-09,36.90,36.90,36.90,36.90,000,36.90
2015-02-06,37.07,37.07,37.07,37.07,000,37.07
2015-02-05,37.19,37.19,37.19,37.19,000,37.19
2015-02-04,36.78,36.78,36.78,36.78,000,36.78
2015-02-03,36.92,36.92,36.92,36.92,000,36.92
2015-02-02,36.38,36.38,36.38,36.38,000,36.38
2015-01-30,35.94,35.94,35.94,35.94,000,35.94
2015-01-29,36.43,36.43,36.43,36.43,000,36.43
2015-01-28,36.09,36.09,36.09,36.09,000,36.09
2015-01-27,36.59,36.59,36.59,36.59,000,36.59
2015-01-26,37.03,37.03,37.03,37.03,000,37.03
2015-01-23,36.88,36.88,36.88,36.88,000,36.88
2015-01-22,37.05,37.05,37.05,37.05,000,37.05
2015-01-21,36.48,36.48,36.48,36.48,000,36.48
2015-01-20,36.32,36.32,36.32,36.32,000,36.32
2015-01-16,36.29,36.29,36.29,36.29,000,36.29
2015-01-15,35.80,35.80,35.80,35.80,000,35.80
2015-01-14,36.17,36.17,36.17,36.17,000,36.17
2015-01-13,36.37,36.37,36.37,36.37,000,36.37
2015-01-12,36.44,36.44,36.44,36.44,000,36.44
2015-01-09,36.72,36.72,36.72,36.72,000,36.72
2015-01-08,37.02,37.02,37.02,37.02,000,37.02
2015-01-07,36.38,36.38,36.38,36.38,000,36.38
2015-01-06,35.95,35.95,35.95,35.95,000,35.95
2015-01-05,36.30,36.30,36.30,36.30,000,36.30
2015-01-02,36.96,36.96,36.96,36.96,000,36.96
2014-12-31,36.98,36.98,36.98,36.98,000,36.98
2014-12-30,37.34,37.34,37.34,37.34,000,37.34
2014-12-29,37.52,37.52,37.52,37.52,000,37.52
2014-12-26,37.46,37.46,37.46,37.46,000,37.46
