Date,Open,High,Low,Close,Volume,Adj Close
2015-05-26,194.73,194.77,192.70,193.16,1235300,193.16
2015-05-22,195.31,195.75,195.19,195.25999,831400,195.25999
2015-05-21,195.05,195.92999,194.83,195.69,756200,195.69
2015-05-20,195.37,195.95,194.80,195.10001,3401300,195.10001
2015-05-19,195.44,195.77,194.96001,195.23,980300,195.23
2015-05-18,194.63,195.62,194.48,195.33,984500,195.33
2015-05-15,194.67999,194.88,194.22,194.73,719000,194.73
2015-05-14,193.64,194.60001,193.33,194.53,901800,194.53
2015-05-13,192.96001,193.61,192.25999,192.52,589000,192.52
2015-05-12,192.14999,193.07001,191.23,192.46001,1852700,192.46001
2015-05-11,193.92999,194.20,192.96001,193.02,1090100,193.02
2015-05-08,193.30,194.17999,193.23,193.95,1322600,193.95
2015-05-07,190.59,191.89999,190.24001,191.44,1320600,191.44
2015-05-06,192.09,192.39,189.53,190.67,1581900,190.67
2015-05-05,193.39999,193.80,191.33,191.44,1138300,191.44
2015-05-04,193.64,194.31,193.50,193.70,1059900,193.70
2015-05-01,191.96001,193.17999,191.85001,193.10001,1921200,193.10001
2015-04-30,192.39999,192.80,190.32001,191.10001,2506100,191.10001
2015-04-29,192.81,193.66,192.14,193.02,1408900,193.02
2015-04-28,193.17,193.85001,191.94,193.81,1103800,193.81
2015-04-27,194.63,194.74001,193.00,193.21001,898200,193.21001
2015-04-24,194.02,194.28999,193.52,193.98,978300,193.98
2015-04-23,192.64999,194.25999,192.50,193.59,956100,193.59
2015-04-22,192.49001,193.28,191.50,193.09,1124700,193.09
2015-04-21,192.33,193.25999,191.80,192.14,1089500,192.14
2015-04-20,191.67,192.70,191.55,192.33,1430100,192.33
2015-04-17,191.53,191.77,189.75,190.59,2059200,190.59
2015-04-16,192.55,193.37,192.30,192.83,823300,192.83
2015-04-15,192.53999,193.42,192.45,192.89999,934900,192.89999
2015-04-14,191.42,192.22,190.77,192.02,2647800,192.02
2015-04-13,192.36,193.03999,191.60001,191.67,1227500,191.67
2015-04-10,191.74001,192.57001,191.53999,192.53999,1056800,192.53999
2015-04-09,190.45,191.71001,189.96001,191.49001,794300,191.49001
2015-04-08,190.24001,191.06,189.81,190.66,1412000,190.66
2015-04-07,190.48,191.33,189.97,189.97,1371300,189.97
2015-04-06,188.23,191.03999,188.09,190.48,1241900,190.48
2015-04-02,188.47,189.69,188.27,189.14999,1803500,189.14999
2015-04-01,189.17,189.17,187.47,188.59,3379700,188.59
2015-03-31,189.98,191.78,189.17,189.20,2764800,189.20
2015-03-30,189.75,191.19,189.72,190.88,1414500,190.88
2015-03-27,188.03999,188.78,187.83,188.53,1837000,188.53
2015-03-26,187.88,189.14999,187.14999,188.14,1906100,188.14
2015-03-25,191.64,191.87,188.57001,188.61,1216400,188.61
2015-03-24,192.38,192.85001,191.33,191.39999,1587000,191.39999
2015-03-23,192.85001,193.49001,192.49001,192.52,707100,192.52
2015-03-20,193.19,194.39,193.13,193.85001,1350100,192.866
2015-03-19,192.56,192.85001,191.75,192.11,1372000,191.13483
2015-03-18,190.17,193.75999,189.49001,193.00,2287400,192.02031
2015-03-17,190.48,191.13,189.83,190.73,1460700,189.76183
2015-03-16,189.59,191.38,189.55,191.38,1054100,190.40854
2015-03-13,189.67999,189.78999,187.62,188.80,1792200,187.84163
2015-03-12,188.21001,190.00,188.20,189.96001,2646900,188.99574
2015-03-11,188.25999,188.47,187.47,187.53999,1857400,186.58801
2015-03-10,189.57001,189.63,187.97,187.98,2390000,187.02579
2015-03-09,190.52,191.47,190.42,191.12,1131500,190.14984
2015-03-06,192.00,192.55,189.94,190.31,1815400,189.34396
2015-03-05,193.14999,193.33,192.48,193.03999,1135700,192.0601
2015-03-04,193.00,193.05,191.73,192.83,1497500,191.85118
2015-03-03,193.96001,194.02,192.69,193.64,1387600,192.65706
2015-03-02,193.31,194.47,193.30,194.47,1016600,193.48285
2015-02-27,193.77,194.05,193.19,193.20,966500,192.2193
2015-02-26,193.99001,194.14999,193.21001,193.87,994200,192.88589
2015-02-25,194.14,194.64999,193.71001,194.09,1983600,193.10477
2015-02-24,193.69,194.49001,193.42999,194.30,1244100,193.31372
2015-02-23,193.49001,193.73,193.03,193.73,1497600,192.7466
2015-02-20,192.13,193.82001,191.45,193.78,1374000,192.79636
2015-02-19,192.09,192.97,191.89,192.61,1017500,191.63229
2015-02-18,192.28,192.78,192.00,192.74001,1862900,191.76164
2015-02-17,192.07001,192.88,191.78999,192.70,1699800,191.72183
2015-02-13,191.72,192.44,191.46001,192.39,1072900,191.41341
2015-02-12,190.70,191.64999,190.47,191.55,2008500,190.57767
2015-02-11,189.50999,190.23,188.78,189.78999,1744400,188.8266
2015-02-10,188.82001,189.92999,187.85001,189.66,1797500,188.69727
2015-02-09,187.81,188.59,187.22,187.66,2289300,186.70743
2015-02-06,189.49001,190.05,187.94,188.52,1454700,187.56305
2015-02-05,187.89,189.19,187.85001,189.05,1033800,188.09036
2015-02-04,187.03,188.35001,186.64999,187.14999,1860700,186.20
2015-02-03,186.13,187.86,185.78999,187.78999,1434400,186.83675
