Date,Open,High,Low,Close,Volume,Adj Close
2015-05-26,39.73,39.73,39.73,39.73,000,39.73
2015-05-22,39.95,39.95,39.95,39.95,000,39.95
2015-05-21,40.07,40.07,40.07,40.07,000,40.07
2015-05-20,39.95,39.95,39.95,39.95,000,39.95
2015-05-19,39.96,39.96,39.96,39.96,000,39.96
2015-05-18,40.01,40.01,40.01,40.01,000,40.01
2015-05-15,40.02,40.02,40.02,40.02,000,40.02
2015-05-14,39.93,39.93,39.93,39.93,000,39.93
2015-05-13,39.65,39.65,39.65,39.65,000,39.65
2015-05-12,39.65,39.65,39.65,39.65,000,39.65
2015-05-11,39.74,39.74,39.74,39.74,000,39.74
2015-05-08,39.96,39.96,39.96,39.96,000,39.96
2015-05-07,39.56,39.56,39.56,39.56,000,39.56
2015-05-06,39.45,39.45,39.45,39.45,000,39.45
2015-05-05,39.61,39.61,39.61,39.61,000,39.61
2015-05-04,39.91,39.91,39.91,39.91,000,39.91
2015-05-01,39.85,39.85,39.85,39.85,000,39.85
2015-04-30,39.68,39.68,39.68,39.68,000,39.68
2015-04-29,39.94,39.94,39.94,39.94,000,39.94
2015-04-28,40.06,40.06,40.06,40.06,000,40.06
2015-04-27,39.96,39.96,39.96,39.96,000,39.96
2015-04-24,40.03,40.03,40.03,40.03,000,40.03
2015-04-23,39.94,39.94,39.94,39.94,000,39.94
2015-04-22,39.86,39.86,39.86,39.86,000,39.86
2015-04-21,39.80,39.80,39.80,39.80,000,39.80
2015-04-20,39.87,39.87,39.87,39.87,000,39.87
2015-04-17,39.68,39.68,39.68,39.68,000,39.68
2015-04-16,39.92,39.92,39.92,39.92,000,39.92
2015-04-15,39.95,39.95,39.95,39.95,000,39.95
2015-04-14,39.77,39.77,39.77,39.77,000,39.77
2015-04-13,39.67,39.67,39.67,39.67,000,39.67
2015-04-10,39.80,39.80,39.80,39.80,000,39.80
2015-04-09,39.65,39.65,39.65,39.65,000,39.65
2015-04-08,39.57,39.57,39.57,39.57,000,39.57
